case_id,project_name,model,city,size,space_type,business_tags,migration_tags,completeness,video_no,status,duplicate_group,line_no,target_problem,customer_type,operation_goal,asset_condition,scale_level,investment_level,migration_difficulty,verification_priority
案例A40,成都MUJI太古里旗舰店,一、区域型购物中心/综合体,成都,未提及,未分类,餐饮; 零售,尊重抽象气氛非符号; 转意不堆砌显性标志; 融入后退做生活服务者,高,No.224,待核验,,1960,,,,,,,,
案例A41,东京三越本店（海外）,一、区域型购物中心/综合体,东京,未提及,未分类,零售,修旧则旧该新则新; 历史作为安全感而非包袱; 老钱味内容坚守,高,No.227,待核验,,2008,,,,,,,,
案例A42,上海美罗城,一、区域型购物中心/综合体,上海,6.7万方，200多家店,街区; 地下,,持续新陈代谢; 头部IP确定性生意; 剧场+影院+球幕城市舞台,高,No.228,待核验,,2056,,,,,,,,
案例A43,长春万达茂,一、区域型购物中心/综合体,长春,未提及（含5000平热带雨林、亚洲最大室内滑雪场、六万方体育公园等）,盒子mall; 公园,体验; 娱乐; 运动,大胆舍弃面积换场景; 全领娱乐体验打包; 一城一色在地化,高,No.230,待核验,,2104,,,,,,,,
案例A44,东京高轮NEWoMan（海外）,一、区域型购物中心/综合体,东京,未提及（含28楼空中植物园）,未分类,餐饮; 零售; 文化,空中植物园; 精致粗糙感审美; 主动造接缝; 厨具+厨房课堂开放厨房,高,No.233,待核验,,2156,,,,,,,,
案例A45,北京超极合生汇,一、区域型购物中心/综合体,北京,46万方,未分类,餐饮; 亲子; 酒店,大体量非标业态自循环; 高频免费内容轰炸; 外地游客专属福利; 商场+景区化升级,高,No.237,待核验,DG03,2205,,,,,,,,
案例A46,中山海雅缤纷天地,一、区域型购物中心/综合体,中山,中山最大商业体，一期场内1400平米公共运动空间，2026年中落成超2万平米超会玩运动中心,屋顶,零售; 亲子; 运动,奥莱撬动远端客人; 高化首店稳住近郊; 运动进商圈做大,高,No.239,待核验,,2254,,,,,,,,
案例A47,三亚大悦城,一、区域型购物中心/综合体,三亚,未提及,盒子mall; 街区; 屋顶,餐饮; 娱乐,无国界沟通标配; 全球品牌+退税服务; 屋顶街区夜经济,高,No.247,待核验,,2302,,,,,,,,
案例A48,北京海淀大悦城,一、区域型购物中心/综合体,北京,未提及,盒子mall,文化,月山海设定把山野搬进盒子; 品牌社群化; 高频内容创造共同记忆,高,No.254,待核验,,2350,,,,,,,,
案例A49,成都后花园爱琴海,一、区域型购物中心/综合体,成都,未提及,未分类,餐饮,务实听劝调改; 老场细节翻新; 外广场改花园里区; 周年庆情感链接,高,No.258,待核验,,2398,,,,,,,,
案例A50,深圳万象天地（百分百万象季）,一、区域型购物中心/综合体,深圳（全国130多个项目联动）,未提及,未分类,零售,全国联动造梦; 品牌内容共建; 多系统积分打通; B站Vlog传播放大,高,No.260,待核验,DG13,2447,,,,,,,,
案例A51,杭州中心,一、区域型购物中心/综合体,杭州,未提及,未分类,餐饮; 零售,主理人策展空间; 事件日常化运营; 调改节奏,高,No.261,待核验,,2496,,,,,,,,
案例A52,武汉光谷K11,一、区域型购物中心/综合体,武汉,未提及,历史文化,餐饮; 娱乐; 文化; 酒店,自有青年文化IP; 电竞酒店+电竞馆打通; 业态互补组合,高,No.263,待核验,,2544,,,,,,,,
案例A53,天津大悦城,一、区域型购物中心/综合体,天津,未提及,盒子mall; 街区,餐饮; 零售; 运动,城市性格双面匹配; 细粉人群专属街; 空间产品化; 内容孵化品牌,高,No.266,待核验,,2592,,,,,,,,
案例A54,上海虹桥前湾印象城MEGA,一、区域型购物中心/综合体,上海,26万平米商场+11万平米写字楼，约40万平米综合体,未分类,餐饮; 零售; 娱乐; 亲子; 运动,山水意象场景化; 国际化社区配套; 社群专属空间; 高首店比例,高,No.272,待核验,,2641,,,,,,,,
案例A55,武汉国金天地,一、区域型购物中心/综合体,武汉,未提及,街区,餐饮; 零售; 办公; 酒店,精准情绪投喂食集; 招商前征询客群; 食集定位客群,高,No.273,待核验,,2690,,,,,,,,
案例A56,深圳湾万象城二期,一、区域型购物中心/综合体,深圳,未提及,盒子mall; 街区,餐饮; 零售,空中纽带串联; 科技品牌剧情空间; 多巴胺小盒子街区,高,No.274,待核验,,2738,,,,,,,,
案例A57,上海新天地东台里,一、区域型购物中心/综合体,上海,未提及（含6500平全景天幕）,未分类,餐饮; 零售; 娱乐; 文化; 运动,全景天幕基础设施; 独家定制旗舰店; 时段补全; 公共艺术展,高,No.275,待核验,,2786,,,,,,,,
案例A58,上海前滩太古里,一、区域型购物中心/综合体,上海,未提及,滨水,餐饮; 零售; 体验; 娱乐; 文化,半开放式街区+空中街; 城市记忆制造机; 一整天生活线品牌编排; 品牌展示窗口,高,No.276,待核验,,2835,,,,,,,,
案例A59,南京玄武花园城,一、区域型购物中心/综合体,南京,未提及,未分类,,屋顶天文台; 生态+科技基因; 公共性破圈,中,No.286,待核验,,2884,,,,,,,,
案例A60,杭州城北招商花园城,一、区域型购物中心/综合体,杭州,24万方,街区; 滨水,餐饮; 体验; 娱乐; 亲子; 文化,八大主题场景; 区域首店矩阵; 自有IP贯穿; 本土文化呼应,高,No.299,待核验,,2932,,,,,,,,
案例A61,上海恒基·旭辉天地,一、区域型购物中心/综合体,上海,未提及,未分类,餐饮; 零售; 文化,网红建筑长期唤醒; 时段业态补全; 城市公共小马路定位,高,No.302,待核验,,2981,,,,,,,,
案例A62,南京景枫中心,一、区域型购物中心/综合体,南京,十万方区域盒子,盒子mall,餐饮; 零售,宠物友好中心; 女性友好卫生间改造; 服务态度鲜明,高,No.305,待核验,,3029,,,,,,,,
案例A63,珠海华发商都,一、区域型购物中心/综合体,珠海,未提及,未分类,餐饮; 零售; 亲子; 文化; 运动,运动品牌细分选品; 自营书店配合定位; 高密度户外活动; 角色转型,高,No.309,待核验,,3077,,,,,,,,
案例A64,长春这有山,一、区域型购物中心/综合体,长春,4万平米,未分类,餐饮; 零售; 体验; 酒店,把山搬进商场; 文旅文创+体验定位; 城市打卡地逻辑,高,No.318,待核验,,3126,,,,,,,,
案例A65,京都BAL（海外）,一、区域型购物中心/综合体,京都（海外）,未提及（小商场）,未分类,餐饮; 零售; 文化,老壳子高级感打造; 生活杂货编辑思路; 服务细节OOTD; 边角收口整齐,高,No.319,待核验,,3174,,,,,,,,
案例A66,西安SKP,一、区域型购物中心/综合体,西安,未提及,未分类,餐饮; 零售; 体验; 运动; 生鲜,月度主题不重样; 剧场化商业空间; 高频消费调改; 会员体系壁垒,高,No.323,待核验,,3223,,,,,,,,
案例A67,合肥万象城,一、区域型购物中心/综合体,合肥,接近20万方商场,盒子mall; 街区,餐饮; 零售; 办公; 酒店,城中之城造商圈; 品牌十年迭代节奏; 主题场景+空中街区; 综合体业态联动,高,No.330,待核验,,3272,,,,,,,,
案例A68,北京国贸商城,一、区域型购物中心/综合体,北京,未提及,未分类,文化,长期主义IP活动; 招商看品牌过往与规划; 价值观链接品牌顾客; 自营起家到首店矩阵,高,No.331,待核验,,3321,,,,,,,,
案例A69,北京中关村领展广场,一、区域型购物中心/综合体,北京,5.5万方,未分类,餐饮; 零售,故事型概念店; IP情绪地标; 合街同体复合空间; 概念店博物馆化,高,No.361,待核验,,3370,,,,,,,,
案例A70,杭州湖滨银泰in77,一、区域型购物中心/综合体,杭州,未提及（大体量片区型商业）,滨水,餐饮; 零售; 文化,自有活动IP化; 分区做主题覆盖; 连廊改造; 高化相互聚集,高,No.366,待核验,,3419,,,,,,,,
案例A71,厦门大悦城,一、区域型购物中心/综合体,厦门,未提及,盒子mall,餐饮; 零售,自建商城+持续调改; 季度大节点策略; 联合品牌一起玩; 景观+空间原创流量,高,No.367,待核验,DG05,3468,,,,,,,,
案例A72,石家庄万象城,一、区域型购物中心/综合体,石家庄,未提及,盒子mall,餐饮; 零售,下城广场空间运营; 季节主题换新; 首店收割机; 戏剧生活节,高,No.372,待核验,,3517,,,,,,,,
案例A73,南京新街口IFCX,一、区域型购物中心/综合体,南京,商业2万多方,未分类,餐饮; 零售; 娱乐; 办公,商圈内差异化定位; 地下交通发力; 商业+办公互相赋能; 暖心运营,高,No.385,待核验,,3566,,,,,,,,
案例A74,曼谷CENTRAL PARK（海外）,一、区域型购物中心/综合体,曼谷（海外）,未提及（含酒店、公寓、办公三个塔楼+底座商场）,公园,餐饮; 零售,立体空中公园; 三角用地塔楼围绕; 餐饮做大做强; 中庭造层次感; 地铁直达,高,No.392,待核验,,3615,,,,,,,,
案例A75,深圳海雅缤纷城,一、区域型购物中心/综合体,深圳,未提及,未分类,餐饮; 零售,比市场快半步调改; 品牌数量密度; 大管家式服务; 商圈思维; 港客离境退税,高,No.398,待核验,,3665,,,,,,,,
案例A76,上海静安大悦城,一、区域型购物中心/综合体,上海,未提及,盒子mall,,二次元业态聚集; IP捕手策略; 次元VIP卡; 政企联动消费券; 持续运营造口碑,中,No.404,待核验,,3715,,,,,,,,
案例A77,南京金陵天地,一、区域型购物中心/综合体,南京,80 万方大盘综合体的商业启动区,屋顶,餐饮; 零售; 生鲜,大盘综合体商业启动区逻辑; 超级交通串联; 客厅+公园双场景; 适配填空招商; 屋顶餐酒延长时段,高,No.416,待核验,,3765,,,,,,,,
案例A78,杭州嘉里中心,一、区域型购物中心/综合体,杭州,未提及,未分类,餐饮; 零售,慢功夫维护硬件; 顶层生活方式引领; IP 共创式运营; 街区氛围外摆,高,No.417,待核验,,3815,,,,,,,,
案例A79,菏泽嘉禾城,一、区域型购物中心/综合体,山东菏泽（三四线小城）,十几万方,未分类,餐饮; 零售; 亲子; 生鲜,一线城市标准下沉; 自营超市 + 主题市集; 首店矩阵抬高天花板; 00 后员工造 IP,高,No.423,待核验,,3864,,,,,,,,
案例A80,惠州华贸天地,一、区域型购物中心/综合体,惠州（非一线城市）,未提及,未分类,餐饮; 零售,抢跑招商; 招商运营一体化攻坚小组; 会员中心升级思想空间,高,No.426,待核验,,3913,,,,,,,,
案例A81,济南领秀城贵和购物中心,一、区域型购物中心/综合体,济南,用了足足一万方做运动场,盒子mall,餐饮; 零售; 体验; 运动,大体量运动场嵌入商场; 运动体验 + 零售 + 餐饮闭环; 赛事运营提升专业度; 公募 REITs 退出,高,No.436,待核验,,3961,,,,,,,,
案例A82,义乌之心,一、区域型购物中心/综合体,浙江义乌（三线县级市）,未提及,未分类,餐饮; 零售; 生鲜,首店矩阵打开县城天花板; 自创会员 IP; 反差客群利用,高,No.441,待核验,,4010,,,,,,,,
案例A83,呼和浩特万象城,一、区域型购物中心/综合体,呼和浩特,近 24 万方,盒子mall,餐饮; 零售,在地文化建筑语言; 流动创意空间场牌; 品牌定制店本地化; mamicare 体系升级,高,No.447,待核验,DG06,4058,,,,,,,,
案例A84,武昌万象城,一、区域型购物中心/综合体,武汉,未提及,盒子mall; 屋顶; 公园,餐饮; 零售,IP 锚定差异化; 自造厂牌系列; 有限空间城市留白; 季节换皮肤,高,No.450,待核验,,4107,,,,,,,,
案例A85,太原万象城,一、区域型购物中心/综合体,太原,超大体量,盒子mall; 历史文化,餐饮; 零售; 文化; 运动,外广场开放式街区; 在地文旅资源合作; 文化输出展览,高,No.453,待核验,,4156,,,,,,,,
案例A86,南京玄武招商花园城,一、区域型购物中心/综合体,南京,未提及,未分类,餐饮; 零售,自然 + 天文双标签; 大盒子种树 + 自动浇水; 骑行友好楼梯; 商业综合体天文台; 哑铃式品牌格局,高,No.464,待核验,,4204,,,,,,,,
案例A87,成都大悦城,一、区域型购物中心/综合体,成都,未提及,盒子mall,餐饮; 零售; 亲子; 运动,运动潮流内容叠加; IP 首展矩阵; 会员调研面对面; 免单卡会员营销,高,No.466,待核验,,4254,,,,,,,,
案例A88,上海徐汇万科广场,一、区域型购物中心/综合体,上海,10 万方,未分类,餐饮; 零售; 体验; 亲子; 运动,自带城市公园作为商业地盘; 运动社群闭环; 旅客半价停车福利,高,No.471,待核验,,4303,,,,,,,,
案例A89,深圳壹方天地,一、区域型购物中心/综合体,深圳,60 万方,未分类,零售; 体验; 亲子; 运动,巨无霸分区打造; 赛事竞技主力店; 商圈铁三角造城; 宠物友好商圈,高,No.474,待核验,,4351,,,,,,,,
案例A90,上海港汇恒隆广场,一、区域型购物中心/综合体,上海,未提及,未分类,餐饮; 运动,商场变城市舞台; 老牌年轻化换新; 首店收割机矩阵,高,No.476,待核验,,4400,,,,,,,,
案例A91,七宝灵展广场（原七宝万科）,一、区域型购物中心/综合体,上海,未提及,未分类,餐饮; 零售; 亲子; 运动,品牌落地实验场; 小步快跑微调; 地下层主题美食市迹; 儿童推车免费借,高,No.488,待核验,,4448,,,,,,,,
案例A92,成都 IFS,一、区域型购物中心/综合体,成都,未提及,未分类,餐饮,重奢场餐饮三波创新; 黑珍珠星厨 + 高端放题; 垂直空间餐饮矩阵; 在地化品牌合作,高,No.489,待核验,,4497,,,,,,,,
案例A93,济南印象城,一、区域型购物中心/综合体,济南,未提及,未分类,餐饮; 娱乐,5 大社交圈运营; 自有 IP 系列活动; 黄金珠宝矩阵调改; 夜市联动外摆,高,No.490,待核验,,4546,,,,,,,,
案例A94,南昌大悦城,一、区域型购物中心/综合体,南昌,未提及,盒子mall,餐饮; 零售,显眼包地标建筑; 二次元圣地定位; 偶像一日店长,高,No.496,待核验,DG04,4595,,,,,,,,
案例A95,重庆万象城,一、区域型购物中心/综合体,重庆,50 万方（2023 年北区打开后总体量，全国超大万象城）,盒子mall,餐饮; 运动,超大体量分区聚焦; 在地设计语言; 古树保留 + 时尚共存; 艺术圈资源导入,高,No.498,待核验,,4643,,,,,,,,
案例A96,长沙万象城,一、区域型购物中心/综合体,长沙,未提及,盒子mall,餐饮; 零售,餐饮首发打新; 空间局部创新表达态度; 户外景观广场 + 巨型 IP; 明星活动矩阵,高,No.499,待核验,DG18,4692,,,,,,,,
案例A97,成都温江合生汇,一、区域型购物中心/综合体,成都温江（大城西）,未提及,滨水,餐饮; 零售; 亲子,首店收割机策略; 餐饮高墙全价格带; 全客群 IP 活动; 听让式网感运营,高,No.504,待核验,,4741,,,,,,,,
案例A98,淄博万象汇,一、区域型购物中心/综合体,淄博（三线城市）,未提及,未分类,餐饮; 零售; 亲子; 运动,标准化样板打造; 大体系孵化原创品牌; 卷服务细节; 小红书矩阵破圈,高,No.506,待核验,,4790,,,,,,,,
案例A99,侨福芳草地,一、区域型购物中心/综合体,北京,20 万方综合体,未分类,餐饮; 零售; 文化; 办公; 酒店,玻璃金字塔迷你城市; 可自清洁 ET fe 充气薄膜外立面; 5 亿艺术品融入商业; 餐饮外摆打破固定分区,高,No.521,待核验,,4839,,,,,,,,
案例A100,深圳 K11 ECOAST,一、区域型购物中心/综合体,深圳蛇口,未提及,公园; 历史文化,餐饮; 零售; 文化,公共文化设施定位; 海滨文化空间入口; 活动先行人气先造; 三展连发对应城市视角,高,No.523,待核验,,4888,,,,,,,,
案例A101,成都银泰中心 in99,一、区域型购物中心/综合体,成都,未提及,未分类,餐饮; 亲子; 运动,勇于掉头转型潮奢; 潮奢西南首店矩阵; 围绕核心半径品质生活; SOP 颗粒度商户管理,高,No.530,待核验,,4937,,,,,,,,
案例A102,EMSPHERE（海外）,一、区域型购物中心/综合体,曼谷,未提及,未分类,餐饮; 零售,无处不在的热情氛围; B1 层国际美食市集; 本土混搭国际招商; 游客友好全英文 + 移动支付; 核心区市集 + 秀场,高,No.543,待核验,,4986,,,,,,,,
案例A103,韩国商场（海外）,一、区域型购物中心/综合体,首尔（含水原）,南哈姆 2000 方、Common Ground 三层集装箱、Starfield 水原、如意岛现代百货,街区,餐饮; 零售,小体量精致村落; 集装箱街区; 公共客厅属性; 招牌灯层次设计; 顶层花园拉客上楼,高,No.544,待核验,,5036,,,,,,,,
案例A104,NEWoMan（海外）,一、区域型购物中心/综合体,东京,7600 ㎡,未分类,餐饮; 零售,凝边界高密度商铺; 轻盈感审美控制; 统一店铺装修风格; 新女性定位招商,高,No.551,待核验,,5086,,,,,,,,
案例A105,沙漠奥莱（海外）,一、区域型购物中心/综合体,洛杉矶远郊荒漠,130 家店铺,未分类,餐饮; 零售,远郊荒漠 + 朝圣感; 地中海式建筑村落; 品牌调性分区; 餐饮放角落迫使穿越,高,No.557,待核验,,5135,,,,,,,,
案例A106,洛杉矶小众商场（海外）,一、区域型购物中心/综合体,洛杉矶,Brentwood Country Mart 一层 27 个铺子、Platform 不到 30 家品牌、Row DTLA 改造项目、Palisades Village 小镇商场,未分类,餐饮; 零售; 生鲜,反标准化小体量商业; 老牌市迹保留外观; 废弃空间改造开放式街区; 本地农场直供有机超市; 高架下小公园激活,高,No.562,待核验,,5184,,,,,,,,
案例B1,东郊记忆,二、城市级概念/产业文商旅,未提及,未提及,街区,零售; 文化,服务者定位; 主理人共创; 细节服务; 行业输出,中,No.10,待核验,,5242,,,,,,,,
案例B2,广州聚龙湾,二、城市级概念/产业文商旅,广州,未提及,盒子mall; 街区; 滨水; 公园,餐饮; 办公; 酒店,历史遗存创造性保留; 树木退让布局; 漫闪盒子; 多元功能嵌套,高,No.50,待核验,,5291,,,,,,,,
案例B3,阿那亚70家新店,二、城市级概念/产业文商旅,未提及,本轮新店70家,未分类,餐饮; 零售,刚需配套养商业; 信任机制; 主理人持续投入,高,No.74,待核验,,5340,,,,,,,,
案例B4,阿那亚2026新店,二、城市级概念/产业文商旅,未提及,2026新店预告70家,未分类,,解决问题导向开发; 服务颗粒度与反馈闭环; 内容作为基础设施; 同频共生招商,中,No.142,待核验,,5388,,,,,,,,
案例B5,北京亮马河,二、城市级概念/产业文商旅,北京,未提及,滨水,餐饮; 文化; 酒店,水为轴线串联节点; 混搭业态布局; 院落改造; 时段切换,高,No.158,待核验,,5438,,,,,,,,
案例B6,伦敦巴特西发电站,二、城市级概念/产业文商旅,伦敦,90亿英镑改造投资，109米烟囱观光电梯，50米挑高中庭,历史文化,餐饮; 文化; 办公,工业符号作为流量入口; 交通先行; 超级租户带动; 新旧融合细节; 品牌克制共识,高,No.229,待核验,,5487,,,,,,,,
