case_id,project_name,evidence_status,project_highlight,problem_opportunity,decisive_action,mechanism_chain,evidence_backed_result,transferable_action,applicability_trigger,required_conditions,non_transferable_conditions,proposal_use,card_status
案例B1,东郊记忆,部分核验,把工业遗存变成展演、数字文创、潮流商业与办公协同的内容生产空间,旧厂房需要超越静态改造，形成可持续内容生产,保留工业肌理，导入展演、首店、主理人和产业办公,工业遗存保留 → 展演/首店/主理人内容 → 年轻客群与产业协同,工业遗存、300余商企/主理人、展演和年轻客群已确认,把旧厂房做成“可演、可展、可办公”的内容生产平台,大体量工业遗存需要持续内容与产业支撑,存量空间、内容生产能力和交通承载,成都传媒集团资源与原厂遗产,策略依据,已完成
案例B10,曼谷1981 Soul & Sold,部分核验,以明确文化母题把旧商场改造成复古时尚、音乐与社群集合的体验型商业,旧商场在区位和体量之外缺乏主题与内容黏性,以“Newstalgia”为主题，按八类功能分区组织业态和活动空间,旧商场 + 明确文化母题 + 分区业态 → 社群型消费,The Mall Ramkhamhaeng更新、Newstalgia定位、八类分区已确认；属早期运营,用单一清晰文化母题贯穿分区、业态和活动,旧商场更新且缺少内容主题,文化母题明确、分区招商和活动组织,曼谷区位、The Mall存量与本地文化社群,动作参考,已完成
案例B11,沈阳东北超-机械巨虎,部分核验,以可互动的机械文化IP连接城市重工叙事、夜游、商业与赛事,城市需要高辨识度事件型内容打破文旅同质化,打造机械仿生IP并接入街区、夜游演艺和赛事活动,城市重工符号 + 可互动装置 + 赛事/节庆联动 → 传播与到访,机械巨虎技术规格、委托主体、IP用途及虎啸街更新背景已确认,用本地产业符号做成可互动的城市事件，并绑定节庆赛事,城市有重工/产业符号且需要事件型引流,装置安全维护、演艺编排和夜间管理,沈阳重工文化、赛事资源和本地文旅投入,动作参考,已完成
案例B12,盐官古城-潮乐之城,部分核验,以遗产修复先行，再用音乐内容作为全年运营引擎,古城需在保护基础上形成可持续的全年内容供给,修复历史街巷与文保，并引入音乐产业合作延伸内容,遗产修复 → 音乐/观潮内容 → 全年运营与阶段性客流,修复逻辑、2024试运营、保护规划和阶段性客流已确认,先修遗产保真，再绑定可长期供应的主题内容引擎,古城/古镇需要内容引擎而非一次性开街,历史资源真实、修缮资金、演艺内容和承载能力,钱塘潮、盐官遗产与长三角客源,策略依据,已完成
案例B13,迪拜文艺园区,线索,项目身份未确认，不能形成可引用亮点,“迪拜文艺园区”需确认是否对应Alserkal Avenue等具体资产,先确认正式中文名称、边界和运营主体,名称疑似但非唯一 → 暂不可引用,仅第三方线索，未确认项目边界和主体,暂存“工业仓库弹性空间+创意生产者聚集”假设，待专项核验,名称指向不明或非唯一,项目官方页、业主主体和项目数据,不适用,风险提示,已完成
案例B14,广州阿那亚Aperch,线索,项目身份未确认，不能形成可引用亮点,“Aperch”拼写、地点、主体和开业状态均不明,先确认正式名称、地点、资产类型和主体,身份无法定位 → 不可引用,无可靠来源,不可引用；先完成项目身份核验,名称或拼写无法定位,项目官方名称、地址和主体,不适用,风险提示,已完成
案例B15,洛阳魏坡新序,部分核验,先识别低效仿古存量，再用本地文化/艺术内容重做目的地,阶段性开发遗留的低效仿古街需要真正的内容激活,以艺术赋能、文化再造和设计共生植入创意资源,识别低效存量 → 本地文化/艺术内容 → 重做目的地,所在地、古民居/仿古街背景、机构和更新逻辑已确认,先诊断低效存量，再用本地真实文化内容而非纯仿古改造,历史街区存在低效仿古或空置存量,历史资源真实、社区参与和策展招商能力,魏家坡古民居和洛阳文旅资源,动作参考,已完成
案例B2,广州聚龙湾,部分核验,以片区级复合开发与前置内容导入组织大体量更新项目筹备期,大型更新项目在建设期就需要定义内容与协同关系,在片区开发中前置导入零售、餐饮、展览及文商旅定位,大体量更新底座 → 分期落成与内容前置 → 片区功能协同,太古地产与珠江实业合作、位置、建设与分期计划已确认；仍属在建,在长周期项目中把内容策划前置，明确分期与功能协同,片区级更新处于筹备/建设期,长期资本、统一规划和多阶段运营,太古与珠江实业资源、广州区位,策略依据,已完成
案例B3,阿那亚70家新店,线索,数量型描述不是唯一项目，不能形成可引用亮点,“70家新店”需确认年度、园区和统计口径,先确认对应年份、园区、品牌清单和开业状态,非唯一项目名 → 无法形成机制,未取得官方资料,不可引用；先锁定具体年度和店铺清单,数量型描述而非唯一项目,官方年度资料和品牌清单,不适用,风险提示,已完成
案例B4,阿那亚2026新店,线索,计划/预告不能作为已实现事实,2026新店属计划或预告，需区分实际开业,先取得官方年度发布并核对实际开业品牌,计划/预告 ≠ 已实现 → 不可形成业绩结论,未取得可引用官方年度资料,不可引用；区分招商预告与实际开业,案例是计划或预告型描述,官方年度发布和实际开业清单,不适用,风险提示,已完成
案例B5,北京亮马河,部分核验,以生态治理、慢行开放和岸上内容联动构建滨水运营系统,滨水空间需先建立可达性，再形成全年内容供给,先做水生态与公共空间，再以游船、灯光、节庆和商业编织内容,生态治理 + 慢行开放 → 水上/岸上内容 → 滨水消费,治理工程、生态改善、周边客流/商业变化及内容运营已确认,先做公共性基础，再把商业与水上/岸上活动联动,滨水空间需活化但公共基础不足,水体安全、公共岸线、跨部门治理和长期维护资金,北京朝阳滨水资源与政府治理投入,策略依据,已完成
案例B6,伦敦巴特西发电站（海外）,部分核验,以遗产地标修复为锚点，把零售、办公、住宅和交通整合为持续更新的片区,大型遗产更新需长期资本和统一规划而非单点招商,以遗产修复为核心，导入混合功能、交通并持续招商,遗产锚点 + 片区混合功能 + 交通接入 → 长期街区活力,2022年开放后零售休闲文化持续招商及街区复合供给已确认,以遗产地标做识别，用混合功能和交通支撑长期片区运营,大体量遗产/棕地更新需长期运营,长期资本、统一规划和多阶段运营,伦敦地标、住房办公市场和地铁新站,策略依据,已完成
案例B7,北海阿萨卡,部分核验,用数字内容生产、旅居服务和消费场景盘活非住宅存量,非住宅存量需以产业导入替代传统销售去化,叠加直播基地、影院、美术馆、餐饮和酒店，导入数字游民,数字内容生产 + 旅居服务 → 人流与消费而非卖房,数字游民社区、数字产业和旅居消费复合定位已确认,以产业和内容导入替代单纯卖房，形成旅居消费闭环,非住宅存量去化或产业导入,产业导入、运营主体和住宿配套,北海政策与低投入成本,动作参考,已完成
案例B8,上海EKA·天物,部分核验,保留工业记忆，用非同质建筑群、首店和公共内容做文商旅体展融合,工业遗存活化需避免千篇一律的仿旧改造,保留工业构件，多建筑师改造并叠加首店、展览、运动和社群,工业记忆 + 非同质建筑群 + 首店/公共内容 → 全时段消费,原厂址、开发主体、建筑改造、首店和销售增长已确认,用多建筑师差异化改造保留记忆，再用首店和公共内容持续导流,工业遗存更新需要差异化与持续内容,可步行空间、策展招商能力和维护预算,上海浦东区位与首店资源,策略依据,已完成
案例B9,北戴河阿那亚,部分核验,以公共文化地标、内容日历和社群运营支撑度假社区消费,度假社区需在居住之外形成稳定的文化与消费内容,用孤独图书馆/礼堂等公共建筑建立认知，并以戏剧、音乐高频运营,文化地标 + 内容日历 + 社群运营 → 住宿餐饮零售协同,滨海文旅定位、文化设施、高频活动及2024游客/社区收入已确认,以公共文化地标和内容日历支撑度假消费，而非孤立复制建筑,度假社区需要稳定内容与社群,长期运营权、内容生产能力和淡旺季策略,滨海资源、环京客源和既有品牌认知,策略依据,已完成
案例E1,东京OIMACHI TRACKS（海外）,部分核验,以轨道运营商主导的站区复合开发升级交通节点,站区土地需从单纯换乘转向城市目的地,由铁路运营方统筹办公、酒店、商业和公共空间开发,轨道站区土地 → 复合开发 → 站城目的地,约3公顷原社宅用地、JR东日本主体、2026年3月开街已确认,由土地统筹型运营方把站区做成“交通+商业+办公+居住”多业态目的地，用连续动线串联各功能而非孤立设店,站区或TOD用地需升级为目的地,站区土地统筹、交通换乘和长期资产运营,东京通勤客流、JR土地权属和品川集聚,策略依据,已完成
案例E2,东京虎之门之丘（海外）,部分核验,以整体街区运营和店铺联动组织高密度混合功能综合体,城市综合体零售不能单店出租，需与办公居住协同,将商业嵌入居住办公复合体，做整体优化、店铺联动和活动,高密度办公居住 → 商业整体运营 → 店铺与活动协同,森大厦城市综合体中商业设施嵌入居住/工作的机制已确认,把商业的招商、内容与公共空间纳入综合体整体运营，用酒店/办公/轨交客群互相导流，而非把铺位独立出租,高密度混合功能综合体,多功能密度、站城连接和长期资产管理,东京核心区位、轨道网络和森大厦土地整合,策略依据,已完成
案例E3,深圳后海片区,部分核验,以就业密度、公共空间、慢行连接和夜间内容共同塑造CBD片区活力,CBD片区不能只靠单一商业载体，需多要素协同,强化公共空间、连廊、滨海界面与夜间经济,就业密度 + 公共空间 + 慢行连接 + 夜间内容 → 片区活力,国际客厅、世界级商圈及公共空间升级方向已确认,以交通、产业、居住、公共空间与商业的多要素协同做片区运营，用人流与配套互补而非单项目招商衡量成效,CBD/片区级综合运营,就业密度、公共空间和慢行系统,深圳湾CBD能级与公共投入,策略依据,已完成
案例E4,上海西岸梦中心,部分核验,以滨江开放场景承接文化活动，再以票根权益把流量导回商户,滨水商业需要把文化活动和消费转化连接起来,用滨江岸线、落日剧场承接露天电影音乐会，配票根优惠联动,滨水开放场景 → 文化活动 → 票根权益导回餐饮零售,GATE M滨江场地、电影活动及票根联动机制已确认,以文化活动做引流引擎，用跨店权益/会员任务把活动流量转化为商户消费,滨水/开放空间需内容与消费联动,高质量公共空间、内容合作方和商业承接,徐汇西岸滨江资源和活动期流量,动作参考,已完成
