"case_id","project_name","evidence_status","source_level","source_url","source_published_at","accessed_at","fact_scope","verification_conclusion","notes"
"案例C7","景德镇陶阳里","部分核验","B","https://www.boc.cn/aboutboc/ab8/202607/t20260728_25681589.html","2026-07-28","2026-08-14","历史文化街区构成、考古式修缮、业态与夜间文旅融合","部分确认","中国银行转载人民日报；空间范围与客流经营数据需补政府或项目方来源"
"案例C8","北京胡同商业","线索","C","","未确认","2026-08-14","原始视频泛指北京胡同内的住宿、零售与本地生活体验","仅作线索","非唯一项目名，未定位资产和运营主体，不能形成案例结论"
"案例C9","青岛银鱼巷","部分核验","B","https://www.dailyqd.com/guanhai/467573_1.html","2026-08-12","2026-08-14","更新及开街时间、保护性修缮、业态迭代、商户结构与运营转向","部分确认","青岛日报基于运营总监采访；产权主体和经营数据需以项目方或政府资料补证"
"案例B1","东郊记忆","部分核验","B","https://news.chengdu.cn/2025/0905/68bab476e7cfa2387953756f.shtml","2025-09-05","2026-08-14","工业遗存保留、运营定位、商企与主理人生态、展演和年轻客群","部分确认","人民日报报道转载；经营表现和首店数量须按年度与统计口径补证"
"案例B10","曼谷1981 Soul & Sold","部分核验","B","https://www.nationthailand.com/pr-news/pr-news/40068202","未确认","2026-08-14","The Mall Ramkhamhaeng更新、Newstalgia定位、八类功能分区与社群型商业","部分确认","项目开业新闻；开业日期、出租率、经营数据及项目方正式资料待补"
"案例B11","沈阳东北超-机械巨虎","部分核验","A","https://www.ln.gov.cn/web/ywdt/jrln/wzxx2018/2026052407110499865/index.shtml","2026-05-24","2026-08-14","机械巨虎参与东北地区城市足球联赛及城市文旅活动","部分确认","虎啸街更新主体、开业与经营数据待补；计划和活动期效果不得作为常态事实"
"案例B12","盐官古城-潮乐之城","部分核验","A","https://www.cssn.cn/zjzg/fzwy/yyjd/202510/t20251021_5919687.shtml","2025-10-21","2026-08-14","古城修复、音乐文旅项目启动、2024年试运营及阶段性客流","核心事实已确认","音乐产业合作由太合音乐官方公告补充；经营和租赁表现待补"
"案例B13","迪拜文艺园区","线索","C","","未确认","2026-08-14","疑似指Alserkal Avenue等迪拜工业仓库改造创意园区","仅作线索","原始中文名称非唯一，未确认对应项目边界和主体"
"案例B14","广州阿那亚Aperch","线索","C","","未确认","2026-08-14","原始案例名称指向不明","仅作线索","未能定位官方项目名称、地点、主体和开业状态"
"案例B15","洛阳魏坡新序","部分核验","B","https://betterchina.caa.edu.cn/case/c512.html","2022","2026-08-14","所在地、古民居/废弃仿古街背景、机构与艺术文化更新机制","部分确认","中国美术学院研究院案例库；开业、业态与经营数据待补"
"案例B2","广州聚龙湾","部分核验","A","https://www.swireproperties.com/zh-hk/portfolio/future-developments/other-future-developments","未确认","2026-08-14","太古地产与珠江实业合作、项目位置、建设与分期落成计划","核心身份已确认","仍属在建/分期落成阶段，计划业态和开业不得作为既成事实"
"案例B3","阿那亚70家新店","线索","C","","未确认","2026-08-14","原始资料指向阿那亚一批新店","仅作线索","数量型非唯一项目名，年度和统计口径待官方资料确认"
"案例B4","阿那亚2026新店","线索","C","","未确认","2026-08-14","原始资料指向阿那亚2026年新店计划或集合","仅作线索","未取得可引用官方年度资料，品牌预告与实际开业需区分"
"案例B5","北京亮马河","部分核验","A","https://sthjj.beijing.gov.cn/bjhrb/index/ztzl/zysthjbhdczbj/dcdt/743878394/index.html","2025-12-09","2026-08-14","生态治理、六类更新工程、周边商业客流变化","核心事实已确认","人民日报补充内容运营和滨水消费机制；各河段经营数据待补"
"案例B6","伦敦巴特西发电站（海外）","部分核验","A","https://batterseapowerstation.co.uk/news/bps-retail-and-leisure-lineup-expands-2026","未确认","2026-08-14","2022年开放后的零售、休闲和文化持续招商，以及街区型复合供给","核心事实已确认","分期投资、产权、分业态租赁表现及收益数据待补"
"案例B7","北海阿萨卡","部分核验","B","http://sh.gxnews.com.cn/staticpages/20251208/newgx693687dc-21880138.shtml","2025-12-08","2026-08-14","阿萨卡数字游民社区、数字产业和旅居消费复合定位","部分确认","北海市政府工作报告补充一期建设；产权、运营主体和经营数据待补"
"案例B8","上海EKA·天物","部分核验","A","https://www.meet-in-shanghai.net/cn/industry-tours/eka-celestial-things-973016","2025-04-17","2026-08-14","原上海航海仪器总厂改造、开发主体、建筑群与公共策展/市集/社交办公功能","核心事实已确认","新华网补充首店和销售增长运营方口径；产权、租赁及客流需年度资料复核"
"案例B9","北戴河阿那亚","部分核验","B","http://www.news.cn/local/20250822/9fefd829339948049629be910d8e1a01/c.html","2025-08-22","2026-08-14","滨海文旅定位、文化设施、高频活动及2024年游客/社区收入","部分确认","新华网报道；住宿、商业、业主与访客分项口径和淡季表现待补"
"案例E1","东京OIMACHI TRACKS（海外）","部分核验","A","https://www.jreast.co.jp/company/message","未确认","2026-08-14","JR东日本项目主体、约3公顷原社宅用地、2026年3月开街和广域品川圈定位","核心事实已确认","正式总面积、业态租户、开业表现和收益数据待JR项目公告或年度报告补齐"
"案例E2","东京虎之门之丘（海外）","部分核验","A","https://www.mori.co.jp/en/business/retail","未确认","2026-08-14","森大厦在城市综合体中以整体优化、店铺联动和活动开展商业运营的机制","部分确认","正式项目面积、开业、租户和经营数据待补开发商项目页或年报"
"案例E3","深圳后海片区","部分核验","A","http://sz.people.com.cn/n2/2026/0224/c202846-41507419.html","2026-02-24","2026-08-14","后海—深圳湾国际客厅、世界级商圈及片区公共空间升级方向","部分确认","片区级案例，具体资产与运营主体仍须消歧，不可归因于单一商业项目"
"案例E4","上海西岸梦中心","部分核验","B","https://www.shobserver.com/sgh/detail?id=4015468","未确认","2026-08-14","GATE M西岸梦中心的滨江场地、电影活动、票根与商户消费联动","部分确认","徐汇官方账号转载上观新闻；开业、面积、租户和日常经营待补"
"案例E5","东莞旗云广场","部分核验","A","https://www.dg.gov.cn/shilong","未确认","2026-08-14","东莞站TOD位置、东实集团开发、2025-12-31开业及区域TOD商业定位","核心事实已确认","南方日报补充体量、运营、出租率和开业期表现；日常经营待补"
"案例E6","成都凯德天府","线索","C","","未确认","2026-08-14","原始名称无法唯一对应具体凯德商业资产","仅作线索","项目全名、地址、主体及原始资料上下文待确认"
"案例E7","武汉麓客岛","线索","C","","未确认","2026-08-14","项目身份未定位","仅作线索","正式名称、地址、主体及原始案例语境待确认"
"案例E8","上海乐高乐园旁爱琴海缤纷里","线索","C","","未确认","2026-08-14","原始名称指向乐高乐园配套商业街","仅作线索","未取得项目方、乐园或政府来源确认主体、开业、商户和经营表现"
"案例D1","南京景枫中心·再地","部分核验","B","https://m.winshang.com/news736941.html","未确认","2026-08-14","再地文化品牌社区、功能迭代及景枫中心品牌/客流销售运营口径","部分确认","新华网和南京市政府补充快闪、首展与首店；再地独立经营数据待补"
"案例D2","上海YEAHH PARK","线索","C","","未确认","2026-08-14","项目身份未定位","仅作线索","正式名称、地址、开发运营方和原始案例上下文待确认"
"案例D3","麓湖cpi Factory 09","部分核验","B","https://www.gooood.cn/luxelakes-cpi-phase-3-by-xj-designagency.htm","未确认","2026-08-14","Factory 09共创空间、11家创作型店铺与共享空间/景观花园组织","部分确认","麓湖CPI整体运营数据不可归因于单体；Factory 09独立经营待补"
"案例D4","上海PAC购物中心","部分核验","A","https://english.shanghai.gov.cn/en-ShoppingCenters/20251024/323991189740454e92ded9a2ad87ed6e.html","2025-10-24","2026-08-14","项目位置、开放街区和宠物友好特征，以及首店/夜间内容机制","部分确认","静安区政府补充首店餐饮与夜经济活动；主体、面积和经营数据待补"
"案例D5","三亚东岸麓洲","部分核验","B","https://www.ellechina.com/deco/a71478775/wanhua","未确认","2026-08-14","万华在三亚东岸麓州推进主理人商业街区的方向","部分确认","项目正式名称、主体、开业范围、品牌与经营数据待补官方来源"
"案例D6","武汉招商蛇口社区营造","部分核验","B","https://www.mydcyj.com/article/3a219d5e-4d6b-11e6-18da-365e58a48d76","未确认","2026-08-14","武汉未来welike社群及主理人参与的社区营造机制","部分确认","非单一项目；招商蛇口官方材料、参与和商业转化数据待补"
"案例D7","武汉上岸公园","部分核验","B","https://www.zincommunity.com/xinwendongtai/11-20.html","2025-10-23","2026-08-14","POD定位、项目开放、区域服务人群和公园商业机制","部分确认","极目新闻与湖北商务厅补充开街、首店和内容；日常经营待补"
"案例D8","上海浦发唐镇印象汇","部分核验","A","https://www.scpgroup.com/media/data?parentid=3&catid=13&id=2021644","2025-09-28","2026-08-14","项目主体、地址、体量、开业、社区商业定位及空间和片区联动机制","核心事实已确认","开业后客流、销售、会员、租户留存与协同转化数据待补"
"案例D9","深圳华侨城OCT PARK","线索","C","","未确认","2026-08-14","名称未与唯一项目资产对应","仅作线索","不得混用华侨城其他资产资料；正式名称、主体和上下文待补"
"案例A100","深圳 K11 ECOAST","线索","C","","未确认","2026-08-14","原始名称指向K11 ECOAST","仅作线索","未获取K11官方或政府来源确认项目状态、边界和机制"
"案例A101","成都银泰中心 in99","部分核验","B","https://www.executivecentre.com.cn/office-space/chengdu-yintai-centre","未确认","2026-08-14","金融城位置及in99、酒店、办公与公园的复合关系","部分确认","业主官方项目资料、面积、开业、租户和经营数据待补"
"案例A102","EMSPHERE（海外）","部分核验","B","https://www.aleenta.com/en/blog/emsphere-shopping-mall-in-bangkok","未确认","2026-08-14","娱乐餐饮、夜生活、活动及快闪空间主导的消费定位","部分确认","业主The Mall Group官方资料、面积、店铺和经营表现待补"
"案例A103","韩国商场（海外）","线索","C","","未确认","2026-08-14","非唯一项目名称","仅作线索","具体城市、资产、运营主体与原始资料上下文待确认"
"案例A104","NEWoMan（海外）","线索","C","","未确认","2026-08-14","JR东日本体系商业品牌，未指定具体项目","仅作线索","具体资产、项目来源与经营机制待确认"
"案例A105","沙漠奥莱（海外）","线索","C","","未确认","2026-08-14","可能对应多个不同国家或城市的奥莱项目","仅作线索","项目所在城市、正式名称、业主主体和原始语境待确认"
"案例A106","洛杉矶小众商场（海外）","线索","C","","未确认","2026-08-14","非唯一项目名称","仅作线索","正式项目、地址、主体和原始资料上下文待确认"
"案例A23","南湖天地","部分核验","B","https://www.sohu.com/a/975668217_121106994","2026-01-13","2026-08-14","文商旅运营、景区/街区协同、招商方法和2025接待量口径","部分确认","嘉兴文旅相关报道转载；项目官方、面积、租户和经营数据待补"
"案例A25","老城根G park","部分核验","B","http://hsb.hspress.net/system/2026/0309/238958.shtml","2026-03-09","2026-08-14","开放式街区、首店更新、IP活动和地铁连接","部分确认","开发运营主体、面积、租赁和常态经营数据待补"
"案例A26","成都万象城","部分核验","B","https://finance.sina.com.cn/stock/stockzmt/2026-04-24/doc-inhvpkaq4778541.shtml","2026-04-24","2026-08-14","与A20重复项目的资产处置与运营管理线索","部分确认","应与A20合并去重；集团资产策略不等于项目经营表现"
"案例A27","武汉荟聚","部分核验","B","http://www.eeo.com.cn/2025/1212/772506.shtml","2025-12-12","2026-08-14","家庭娱乐、首店/在地更新及英格卡全国运营机制","部分确认","全国数据不可视为武汉单店；官方项目资料和经营数据待补"
"案例A28","万象滨海购物村（MIXC Village）","部分核验","A","http://www.zsnews.cn/trade/index/view/cateid/45/id/766736.html","2025-12-28","2026-08-14","主体、位置、约10万平方米规模、开业、生态场景、首店和内容机制","核心事实已确认","滨海湾新区宣传资料；实际租户、客流销售和淡旺季表现待补"
"案例A30","南宁万象城","线索","C","","未确认","2026-08-14","项目名称明确但本轮无可靠项目级来源","仅作线索","官方项目页、业态和经营资料待补"
"案例A31","成都SKP","部分核验","B","https://m.thecover.cn/news_details.html?eid=6tG2%2FEZLOvKH90qSdq8Jkw%3D%3D","2025-10-31","2026-08-14","下沉式空间、公园商业定位、2022年开业及艺术内容运营","部分确认","项目官方资料、面积、店铺与经营数据待补"
案例A32,Eataly中国首店（海外）,线索,C,https://www.sohu.com/a/995128938_121124625,2026-03-11,2026-08-17,中国首店传闻与Eataly模式简介,仅有市场传闻，未获官方证实,落地张园或南京西路光明集团项目均为传闻，无围挡/官方信息；不得写成已落地
案例A33,深圳万象天地,部分核验,B,https://baike.baidu.com/item/%E6%B7%B1%E5%9C%B3%E4%B8%87%E8%B1%A1%E5%A4%A9%E5%9C%B0/66321227,2017-09-27,2026-08-17,街区+mall形态、业态与品牌构成、首店及特色业态,核心事实已确认,开业时间及品牌结构以百度百科为准，经营数据待补
案例A34,西安MOMOPARK,部分核验,B,https://view.inews.qq.com/a/20251118A068LT00,2025-11-18,2026-08-17,PARK-MALL概念、屋顶花园、艺术空间与友好服务,核心事实已确认,经营数据与客流待补
案例A35,上海新天地,部分核验,B,https://www.jfdaily.com.cn/wx/detail.do?id=975386,2025-09-21,2026-08-17,石库门更新、业态调改、场所营造与活动期经营数据,核心事实已确认,活动期客流+36%/销售+23%为活动期数据，非长期经营效果
案例A36,东京玉川高岛屋（海外）,部分核验,B,https://x.com/toyoda_noiz/status/2026502922700546132,2026,2026-08-17,立体公园/中庭花园改造与屋顶花园,核心事实已确认,具体经营数据待补；改造方案获TECTURE AWARD长名单
案例A37,深圳大运天地,部分核验,B,https://finance.sina.cn/stock/relnews/hk/2025-12-09/detail-inhafmiz0662317.d.html,2025-12-09,2026-08-17,赛演经济与公园式街区商业融合定位,部分确认（定位与机制已确认，具体体量/开业数据待补）,华润万象生活以其为文商旅融合样本；开业时间与体量需补官方来源
案例A38,万象商业北京区域（百分百万象季）,部分核验,B,https://m.winshang.com/news738555.html,2026,2026-08-17,百分百万象季跨项目联动营销机制,部分确认（机制已确认，北京区域具体项目与数据待补）,与案例A50同属百分百万象季活动；本案例聚焦北京区域多项目联动
案例A39,东京中城（海外）,部分核验,A,https://www.tokyo-midtown.com/jp/sp/news/8056,2026-06-19,2026-08-17,综合体定位、绿地公共空间与全年活动运营,核心事实已确认,经营数据待补
案例A40,成都MUJI太古里旗舰店,部分核验,B,http://beta.lifeweek.com.cn/h5/article/detail.do?artId=261268,2026-01-28,2026-08-17,焕新主题、业态升级与本地化内容,核心事实已确认,客流量超预期为品牌方表述，长期经营数据待补
案例A41,东京三越本店（海外）,部分核验,B,https://www.fun-japan.jp/tw/articles/14369,2025,2026-08-17,历史沿革、建筑文化资产与待客内容,核心事实已确认,经营数据待补
案例A42,上海美罗城,部分核验,B,https://www.jfdaily.com/wx/detail.do?id=986615,2025-09-21,2026-08-17,球幕改造与IP首店导入,核心事实已确认,经营数据待补
案例A43,长春万达茂,部分核验,A,http://jl.people.com.cn/n2/2025/1022/c349771-41387936.html,2025-10-22,2026-08-17,体量、三大板块、品牌招商与双主题场景,核心事实已确认,为开业前报道，经营结果需开业后跟踪
案例A44,东京高轮NEWoMan（海外）,部分核验,A,https://prtimes.jp/main/html/rd/p/000000227.000003279.html,2025-09-12,2026-08-17,开业规模、店舗构成与共享空间,核心事实已确认,开业当天约2500人排队，为开业期热度，长期经营待补
案例A45,北京超极合生汇,部分核验,B,https://m.36kr.com/p/3904792798218115,2026,2026-08-17,体量、首店体验业态与2026上半年经营数据,核心事实已确认,经营数据来自赢商/36氪复盘
案例A46,中山海雅缤纷天地,部分核验,A,https://www.zs.gov.cn/ntz/tpxw/content/post_2577239.html,2025-12,2026-08-17,体量、超级奥莱+模式与品牌/首店,核心事实已确认,一期已开业，二期及长期经营待补
案例A47,三亚大悦城,部分核验,A,https://www.visitsanya.com/zh/%E6%8E%A2%E7%B4%A2%E4%B8%89%E4%BA%9A/%E6%97%B6%E5%B0%9A%E8%B4%AD/%E7%83%AD%E9%97%A8%E8%B4%AD%E7%89%A9%E5%9C%B0%E6%A0%87/%E7%BB%BC%E5%90%88%E8%B4%AD%E7%89%A9%E4%B8%AD%E5%BF%83/%E4%B8%89%E4%BA%9A%E5%A4%A7%E6%82%A6%E5%9F%8E,2026,2026-08-17,热带主题定位、品牌/首店结构与绿色认证,核心事实已确认,经营数据待补
案例A48,北京海淀大悦城,部分核验,C,https://www.163.com/dy/article/KVPFH21H055636M8.html,2026,2026-08-17,体量与区位,部分确认（体量与开业状态以房产软文为主，官方详情待补）,来源为房产软文，需补官方开业详情与经营数据
案例A49,成都后花园爱琴海,线索,B,https://m.36kr.com/p/3808556316696066,2026,2026-08-17,爱琴海购物公园区位线索与项目身份存疑,项目身份与开业状态未确认,“成都后花园爱琴海”与“圣沅爱琴海广场/爱琴海购物公园”是否为同一主体、是否开业均未确认
案例A50,深圳万象天地（百分百万象季）,部分核验,B,https://m.winshang.com/news738555.html,2026,2026-08-17,百分百万象季单项目参与与独家快闪,部分确认（单项目参与机制已确认）,与案例A33(深圳万象天地)为同项目不同角度；与案例A38同属百分百万象季活动
案例A51,杭州中心,部分核验,C,https://www.sohu.com/a/944024186_121118212,2025,2026-08-17,合作主体、双轨接驳与垂直综合体构成,部分确认（合作主体与综合体构成以房产软文为主）,来源为房产软文，官方商业详情与经营数据待补
