queue_no,case_id,project_name,model,original_status,completeness,triage_priority,batch,research_status,evidence_status,reviewer_notes
35,案例B1,东郊记忆,二、城市级概念/产业文商旅,待核验,中,P0,B002,已搜索,部分核验,
36,案例B10,曼谷1981 Soul & Sold,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
37,案例B11,沈阳东北超-机械巨虎,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
38,案例B12,盐官古城-潮乐之城,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
39,案例B13,迪拜文艺园区,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,线索,
40,案例B14,广州阿那亚Aperch,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,线索,
41,案例B15,洛阳魏坡新序,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
42,案例B2,广州聚龙湾,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
43,案例B3,阿那亚70家新店,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,线索,
44,案例B4,阿那亚2026新店,二、城市级概念/产业文商旅,待核验,中,P0,B002,已搜索,线索,
45,案例B5,北京亮马河,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
46,案例B6,伦敦巴特西发电站,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
47,案例B7,北海阿萨卡,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
48,案例B8,上海EKA·天物,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
49,案例B9,北戴河阿那亚,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
50,案例E1,东京OIMACHI TRACKS（海外）,五、混合业态资产激活,待核验,高,P0,B002,已搜索,部分核验,
51,案例E2,东京虎之门之丘（海外）,五、混合业态资产激活,待核验,高,P0,B003,已搜索,部分核验,
52,案例E3,深圳后海片区,五、混合业态资产激活,待核验,高,P0,B003,已搜索,部分核验,
53,案例E4,上海西岸梦中心,五、混合业态资产激活,待核验,高,P0,B003,已搜索,部分核验,
54,案例E5,东莞旗云广场,五、混合业态资产激活,待核验,高,P0,B003,已搜索,部分核验,
55,案例E6,成都凯德天府,五、混合业态资产激活,待核验,高,P0,B003,已搜索,线索,
56,案例E7,武汉麓客岛,五、混合业态资产激活,待核验,高,P0,B003,已搜索,线索,
57,案例E8,上海乐高乐园旁爱琴海缤纷里,五、混合业态资产激活,待核验,高,P0,B003,已搜索,线索,
58,案例D1,南京景枫中心·再地,四、社区型非标商业,待核验,高,P0,B003,已搜索,部分核验,
59,案例D2,上海YEAHH PARK,四、社区型非标商业,待核验,高,P0,B003,已搜索,线索,
60,案例D3,麓湖cpi Factory 09,四、社区型非标商业,待核验,高,P0,B003,已搜索,部分核验,
61,案例D4,上海PAC购物中心,四、社区型非标商业,待核验,高,P0,B003,已搜索,部分核验,
62,案例D5,三亚东岸麓洲,四、社区型非标商业,待核验,高,P0,B003,已搜索,部分核验,
63,案例D6,武汉招商蛇口社区营造,四、社区型非标商业,待核验,高,P0,B003,已搜索,部分核验,
64,案例D7,武汉上岸公园,四、社区型非标商业,待核验,高,P0,B003,已搜索,部分核验,
65,案例D8,上海浦发唐镇印象汇,四、社区型非标商业,待核验,高,P0,B003,已搜索,部分核验,
66,案例D9,深圳华侨城OCT PARK,四、社区型非标商业,待核验,高,P0,B003,已搜索,线索,
67,案例A100,深圳 K11 ECOAST,一、区域型购物中心/综合体,待核验,高,P1,B003,已搜索,线索,
68,案例A101,成都银泰中心 in99,一、区域型购物中心/综合体,待核验,高,P1,B003,已搜索,部分核验,
69,案例A102,EMSPHERE（海外）,一、区域型购物中心/综合体,待核验,高,P1,B003,已搜索,部分核验,
70,案例A103,韩国商场（海外）,一、区域型购物中心/综合体,待核验,高,P1,B003,已搜索,线索,
71,案例A104,NEWoMan（海外）,一、区域型购物中心/综合体,待核验,高,P1,B003,已搜索,线索,
72,案例A105,沙漠奥莱（海外）,一、区域型购物中心/综合体,待核验,高,P1,B003,已搜索,线索,
73,案例A106,洛杉矶小众商场（海外）,一、区域型购物中心/综合体,待核验,高,P1,B003,已搜索,线索,
74,案例A23,南湖天地,一、区域型购物中心/综合体,待核验,高,P1,B003,已搜索,部分核验,
75,案例A25,老城根G park,一、区域型购物中心/综合体,待核验,高,P1,B003,已搜索,部分核验,
76,案例A26,成都万象城,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
77,案例A27,武汉荟聚,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
78,案例A28,万象滨海购物村（MIXC Village）,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
79,案例A30,南宁万象城,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,线索,
80,案例A31,成都SKP,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
81,案例A32,Eataly中国首店（海外）,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,线索,
82,案例A33,深圳万象天地,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
83,案例A34,西安MOMOPARK,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
84,案例A35,上海新天地,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
85,案例A36,东京玉川高岛屋（海外）,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
86,案例A37,深圳大运天地,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
87,案例A38,万象商业北京区域（百分百万象季）,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
88,案例A39,东京中城（海外）,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
89,案例A40,成都MUJI太古里旗舰店,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
90,案例A41,东京三越本店（海外）,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
91,案例A42,上海美罗城,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
92,案例A43,长春万达茂,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
93,案例A44,东京高轮NEWoMan（海外）,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
94,案例A45,北京超极合生汇,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
95,案例A46,中山海雅缤纷天地,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
96,案例A47,三亚大悦城,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
97,案例A48,北京海淀大悦城,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
98,案例A49,成都后花园爱琴海,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,线索,
99,案例A50,深圳万象天地（百分百万象季）,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
100,案例A51,杭州中心,一、区域型购物中心/综合体,待核验,高,P1,B004,已搜索,部分核验,
101,案例A52,武汉光谷K11,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
102,案例A53,天津大悦城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
103,案例A54,上海虹桥前湾印象城MEGA,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
104,案例A55,武汉国金天地,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
105,案例A56,深圳湾万象城二期,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
106,案例A57,上海新天地东台里,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
107,案例A58,上海前滩太古里,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
108,案例A60,杭州城北招商花园城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
109,案例A61,上海恒基·旭辉天地,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
110,案例A62,南京景枫中心,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
111,案例A63,珠海华发商都,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
112,案例A64,长春这有山,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
113,案例A65,京都BAL（海外）,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
114,案例A66,西安SKP,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
115,案例A67,合肥万象城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
116,案例A68,北京国贸商城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
117,案例A69,北京中关村领展广场,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
118,案例A70,杭州湖滨银泰in77,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
119,案例A71,厦门大悦城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
120,案例A72,石家庄万象城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
121,案例A73,南京新街口IFCX,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
122,案例A74,曼谷CENTRAL PARK（海外）,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
123,案例A75,深圳海雅缤纷城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
124,案例A77,南京金陵天地,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
125,案例A78,杭州嘉里中心,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
126,案例A79,菏泽嘉禾城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,原始名『嘉禾城』实为『佳和城』2021-06-26开业23万方；与佳和里区分
127,案例A80,惠州华贸天地,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2011年开业；2024销售额48亿+、年客流2700万+（华贸官网）
128,案例A81,济南领秀城贵和购物中心,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,家庭客群一站式区域商业；2024年REITs化，正式文件待补
129,案例A82,义乌之心,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2017-06开业15万㎡；2021销售额24亿、日均客流6万+
130,案例A83,呼和浩特万象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2025-07-04开业24万㎡近400品牌近200首店；与案例A1疑似重复
131,案例A84,武昌万象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2024-05-18开业25万㎡M2轻奢；武汉第二座万象城，汉口首座19万方勿混
132,案例A85,太原万象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2018-09-15开业华北最大万象城；会员120万、61%品牌业绩太原第一
133,案例A86,南京玄武招商花园城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2025年启幕14万㎡；骑行友好/天文台/动物园联动，95%开业率240+品牌
134,案例A87,成都大悦城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2015-12-19开业40万㎡潮玩购物公园；2024年以之为底层资产REIT上市
135,案例A88,上海徐汇万科广场,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,约10万㎡三线TOD城市绿毯；超200品牌40%+区域首店
136,案例A89,深圳壹方天地,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,ABCDE五区1000+品牌华南最长步行街；C区壹方城2021开业25万㎡
137,案例A90,上海港汇恒隆广场,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,三年半资产优化（2017-2020）；2023上半年销售+68%、出租率98%
138,案例A91,七宝灵展广场（原七宝万科）,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,领展2024-02以23.838亿元购余下50%全资持有并更名灵展广场
139,案例A92,成都 IFS,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2014年开业76万㎡综合体；I am Here爬墙熊猫成城市地标IP
140,案例A93,济南印象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2019-06-01开业首日客流25万；体量口径11/12/15万方需注明
141,案例A94,南昌大悦城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2025-05-31开业首日客流24万+；品牌口径260+vs220+需注明
142,案例A95,重庆万象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,一期2014年开业，北区2023-06-18；整体50万㎡国内最大重奢万象城
143,案例A96,长沙万象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2024-12-18开业26.7万㎡423品牌170+首店；首日销售2300万客流25万
144,案例A97,成都温江合生汇,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2015年开业260+品牌80%首进温江；2020年升级更名成都合生汇
145,案例A98,淄博万象汇,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2015-05-27开业当天客流近20万；45万㎡为项目总体量口径
146,案例A99,侨福芳草地,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2012-09-16开业20万㎡LEED铂金；2023客流较2017降约40%；2025转轻资产
147,案例C15,上海延庆路/东湖路/永源路小马路商业更新,三、街区/滨河/历史文化街区,待核验,高,P1,B006,已完成,部分核验,东湖路-延庆路青年客群占比77%、人均消费430元；永源路资料少
148,案例C16,马来西亚怡保夜生活街区（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B006,已完成,线索,仅旅游指南级来源（agoda/Trip.com），需补官方或行业来源
149,案例C17,成都三色锦岸夜市（原三色路）,三、街区/滨河/历史文化街区,待核验,高,P1,B006,已完成,部分核验,五允许一坚持政策+后备箱露营风；2022-11被叫停后提档升级四大片区
150,案例C18,北京王府中環,三、街区/滨河/历史文化街区,待核验,高,P1,B006,已完成,部分核验,香港置地内地首个地标；15万㎡总开发、140+品牌近30首店；开业口径2017/2018
151,案例C19,北京朝外UIC街区,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,2021年朝阳区首个片区类城市更新UIC；THE BOX A馆80%首店、约4个月销5亿、活动2.25万人次
152,案例C20,成都文殊坊,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,成都三大历史文化街区之一；2017年城投置地提质升级；2026五一74万人次；2025年度影响力特色街区
153,案例C21,成都曹家巷骄子集市,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,线索,名称『骄子集市』无独立公开来源，疑对应『潮+巷夜肆』(1500㎡65摊)或『曹家巷·匠人里』；需原始资料核实
154,案例C22,悉尼QVB维多利亚女王大厦（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,1898年开业五层占乔治街整街区140+店；维基百科+sydney.com；旅游城市地标型历史建筑
155,案例C23,上海虹口区域商业更新,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,今潮8弄约1.5万㎡8条里弄60幢石库门、约500场活动/年；虹口『娱文旅商』模式
156,案例C24,成都regular原野,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,名应为REGULAR源野；大源公园下沉广场3花园20店6528.72㎡层高5.5m；2021-07首批开放
157,案例C25,上海淮海路商业街,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,1900年辟筑近20年四轮更新；2025新增首店87家新开店率超25%；HAI550品牌年更替率约50%
158,案例C26,曼谷松汪road街区（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,线索,松瓦路Song Wat Road百年老街居民自发振兴；Time Out酷街区为转述；仅旅游指南级来源
159,案例C27,槟城Hin Bus Depot兴巴士（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,1947年公交维修站改造乔治市艺术社区；周日市集+米其林一星Au Jardin；维基+米其林指南
160,案例C28,清迈One Nimman尼曼一号（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,线索,2018年落成Ichitan创办人Tan打造『清迈的客厅』；红砖建筑+手作在地品牌；仅旅游博客级来源
161,案例C29,吉隆坡pocket破旧美学街区（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,线索,The Pocket KL位于Pudu旧区，老宅活化保留斑驳墙面裸露结构；仅博客/社媒级来源
162,案例C30,泉州十洲城,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,泉州城建百亿150万方；首期『市井十洲城』福建首个滨海非标街区2026-09开业；200+品牌双引擎
163,案例C31,北京朝外潮庙会,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,2026春节京城首个面向年轻人主题庙会；潮玩IP MOLLY等+潮汕英歌舞非遗；东岳庙联动
164,案例C32,福州上下杭历史街区烟火生活季,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,上下杭2020-12-30步行街开街；『杭肆』文旅品牌+新春大集50+闽式风物30+主理人
165,案例C33,曼谷vanage houses老厂房改造（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,线索,名疑为vintage/Warehouse 30；二战仓库约4000㎡工业风文创园；仅旅行/社媒级来源
166,案例C34,广州阿那亚A perch朋里,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,阿那亚首个半开放式公园商业群落27店铺单元+首店矩阵；花都区九龙湖；艺术中心超6000㎡董功设计
167,案例C35,成都东郊记忆warmix街区,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,原红光电子管厂282亩约20万㎡2011开园；国家工业遗产；『warmix』名无独立来源疑为组团/活动名
168,案例C36,佛山王府井紫薇港,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,季华商圈32万㎡佛山最大体量购物中心；超100佛山首店签约率90%开业率80%；开业约2021底
169,案例C38,北京三里屯太古里路易威登之家,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,2025-12-19启幕青木淳设计(太湖石+连衣裙灵感)；4层全品类+家居；Le Café北京首间/中国第三家
170,案例C39,成都王府井科华店,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,科华购物中心2011-12-25开业建面10万㎡/营业5.5万㎡；王府井成都另有总府店1999北京外最大百货
171,案例C40,新加坡老巴刹（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,1894年迁现址东南亚最古维多利亚建筑之一；新加坡唯一国家古迹内小贩中心；2024年130周年
172,案例C41,广州东山口街区,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,新河浦400+栋洋楼微更新；一方东山2022开业41品牌；2019联合国人居署亚洲都市景观奖
173,案例C42,新加坡FUNan（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,2019-06-28软开/12-27正式；凯德5.6亿新元改造26.9万sqft 6层；骑行友好+攀岩墙科技体验型
174,案例C43,上海上生·新所浴见全国首店,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,浴见全国首店『一个人的自由浴室』2025-11开业；贝泰妮2025首笔战略投资；上生·新所万科运营
175,案例C44,新加坡New Bahru（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,前南侨女中(1940s福建会馆创办)；2024-05起逐步开业40+本土品牌创意聚落；SLA官方背书
176,案例C45,杭州良渚文化村玉鸟集,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,玉鸟集2023-05建成开放68934㎡，万科杭州，主理人共创（有方/筑格）
177,案例C46,澳洲布里斯班James Street（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,James Street 110+特色店，昆士兰官方旅游+官网（海外，经营数据待补）
178,案例C47,武汉新天地,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,武汉天地近20年，2025-09更名武汉新天地，瑞安品牌升级为社区品牌（商务局转载/湖北日报）
179,案例C48,上海adidas三叶草外滩秀场,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,adidas官方2025-10-16上海时装周收官大秀POWER OF THREE，外滩地点口径待核
180,案例C49,杭州亚奥万象天地,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,浙江省首个万象天地，12万㎡盒子+街区，开业两日客流33万+（Lead8/gooood）
181,案例C50,佛山岭南新天地,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,佛山岭南新天地2012年开幕，150万㎡128栋历史建筑，年客流超2600万（美通社/南方+）
182,案例C51,北京朝阳花Young潮外消费季,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,花YOUNG潮外UIC片区消费季2025-09-28启动，政府牵头串联朝外地标（市政府官网）
183,案例C52,东京NEWoMan/香港中环街市/北京西单更新场（海外+国内）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,三合一：NEWoMan/中环街市2021-08开放/西单更新场2021亮相（市建局/外办）
184,案例C54,首尔GENTLE MONSTER总部（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,GENTLE MONSTER总部HAUS NOWHERE圣水洞，5品牌整合（GM官方）
185,案例C55,曼谷Central Park（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,对应Dusit Central Park，CPN开发，2025-09-04开幕13万㎡550+品牌（官方）
186,案例C56,青岛万象城,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,青岛万象城2015-04-30开业30.12万㎡，REIT底层资产，出租率99%会员145万（经济导报）
187,案例C57,北京中粮祥云小镇,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,祥云小镇20万㎡六大主题区，2021入选北京首批旅游休闲街区（百科/人民网）
188,案例C58,北京友谊商店/大吉巷/白塔寺东西岔,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,三合一：友谊商店2025-09-23开业/大吉巷端午50万客流/白塔寺东西岔针灸更新（新华网）
189,案例C59,西安曲江创意谷,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,曲江创意谷2018-12-30一期开业52.9万㎡，17米高线公园空中街区（西安晚报/百科）
190,案例C60,沈阳三台子万象汇叁三里,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,三台子万象汇2022-12-09开业12.8万㎡，叁三里2024-06-15开放2000㎡漫氧绿洲（百科/观点）
191,案例C61,上海安福路萨洛蒙概念店,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,萨洛蒙小白楼福郡安福路，479㎡三层三大主题空间（美通社/赢商网）
192,案例C62,东京宫下公园/大阪难波公园/首尔如意岛/吉隆坡Exchange TRX（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,去重：多案合一卡，第4分案Exchange TRX与案例E58同项目，并入DG23（引用时避免重复引用TRX）
193,案例C63,香港铜锣湾希慎丽园街区,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,希慎利园升级计划Lee Gardens for the Next Century，利园八期2026Q3（观点/华懋）
194,案例C64,印力×曼谷The Mall集团合作（含深圳印力中心印象食集）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,印力×The Mall集团2025-07-18战略签约，花花节融合Kud-Thai市集IP（万科/印力）
195,案例C65,首尔圣水洞韩系设计街区（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,圣水洞工业遗产改造设计街区，LCDC/大林仓库/DIOR/TAMBURINS（行业文章/ELLE）
196,案例C66,深圳深业上城/重庆北辰天街/南京德基/郑州郑东万象城室内街区,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,四合一：深业上城60亿/北城天街焕新/德基245亿/郑东万象城2025-06-28（赢商网/人民网）
